iter	RMSE
0	35.96964287
1	35.51318818
2	35.01782623
3	34.5093416
4	34.06453995
5	33.71036892
6	33.38918634
7	32.94040245
8	32.54520803
9	32.1070304
10	31.6972626
11	31.39017994
12	31.02767383
13	30.66776959
14	30.38518422
15	30.12502632
16	29.8526773
17	29.55510058
18	29.28653864
19	28.98213513
20	28.79884731
21	28.60618529
22	28.36882497
23	28.14808568
24	27.93605385
25	27.67683171
26	27.47007215
27	27.28510441
28	27.11323432
29	26.95487677
30	26.79295105
31	26.58784527
32	26.39100425
33	26.20039135
34	26.06557261
35	25.89935591
36	25.78927757
37	25.61154483
38	25.43625719
39	25.34903541
40	25.25066804
41	25.08296887
42	24.9662509
43	24.83498371
44	24.69338829
45	24.59004042
46	24.49196167
47	24.36907172
48	24.3030959
49	24.19905871
50	24.1093781
51	24.04769988
52	23.95405302
53	23.84832667
54	23.7422806
55	23.62361039
56	23.50564913
57	23.40900372
58	23.32400024
59	23.23802766
60	23.14748266
61	23.07833738
62	22.97791807
63	22.88423289
64	22.77871499
65	22.7162445
66	22.64710264
67	22.57141251
68	22.51282199
69	22.45010226
70	22.38129963
71	22.33894493
72	22.25989112
73	22.19986332
74	22.13258693
75	22.06288673
76	22.02782736
77	21.92498126
78	21.87233405
79	21.78818721
80	21.73542055
81	21.65918879
82	21.5917593
83	21.54722324
84	21.4998603
85	21.44614051
86	21.37962793
87	21.33348659
88	21.27764496
89	21.21874379
90	21.16145779
91	21.1116387
92	21.05954467
93	21.0333241
94	20.98148408
95	20.90830237
96	20.85632519
97	20.82702217
98	20.79786021
99	20.76749152
100	20.72706585
101	20.66766817
102	20.5560164
103	20.52819885
104	20.4755399
105	20.42932605
106	20.40526784
107	20.36506117
108	20.33407234
109	20.29320229
110	20.23186835
111	20.18637572
112	20.15803482
113	20.12166365
114	20.10297112
115	20.07244431
116	20.03211255
117	19.98902362
118	19.93568232
119	19.89420649
120	19.85196591
121	19.79659277
122	19.75827698
123	19.7154864
124	19.67890863
125	19.63235162
126	19.61261468
127	19.58839375
128	19.57755082
129	19.55916892
130	19.51843189
131	19.50375901
132	19.45053639
133	19.42204124
134	19.39358289
135	19.37389063
136	19.31826096
137	19.25741998
138	19.20363661
139	19.16081013
140	19.12600777
141	19.09404453
142	19.07749446
143	19.03437523
144	19.00386065
145	18.97234868
146	18.93441989
147	18.90258739
148	18.88050405
149	18.8408921
150	18.81710923
151	18.79568508
152	18.76911236
153	18.73151762
154	18.6868492
155	18.682869
156	18.66174118
157	18.63294606
158	18.6085373
159	18.55883033
160	18.54390056
161	18.52766516
162	18.50360266
163	18.45004463
164	18.39913746
165	18.38318941
166	18.37365343
167	18.3326221
168	18.29975182
169	18.25066526
170	18.21681463
171	18.18256862
172	18.12782765
173	18.11642753
174	18.04490417
175	18.00661581
176	17.96086551
177	17.92189823
178	17.89989948
179	17.86155819
180	17.82793427
181	17.79103871
182	17.77586309
183	17.72890492
184	17.69771417
185	17.65709572
186	17.62253733
187	17.58644832
188	17.549791
189	17.525283
190	17.49143043
191	17.45020282
192	17.40515386
193	17.368869
194	17.32957049
195	17.2853253
196	17.25395521
197	17.20902411
198	17.15890609
199	17.12745295
200	17.08358201
201	17.03873832
202	16.97905443
203	16.95641444
204	16.95116795
205	16.91270803
206	16.89163929
207	16.85264472
208	16.81935682
209	16.79928593
210	16.77127804
211	16.74831338
212	16.71779117
213	16.70417853
214	16.65842866
215	16.6123297
216	16.59273457
217	16.57096907
218	16.56483966
219	16.55925821
220	16.5256349
221	16.49926131
222	16.46949281
223	16.44386078
224	16.40413149
225	16.39767931
226	16.36705522
227	16.3614332
228	16.34742
229	16.34117488
230	16.29889324
231	16.28179339
232	16.27450173
233	16.26097832
234	16.20462222
235	16.17930911
236	16.17490335
237	16.16878569
238	16.15225996
239	16.10602897
240	16.07401888
